Structure,Hemisphere,FS_abbrev,code
Banks_of_the_superior_temporal_sulcus,Left,L_bankssts,1001
Caudal_anterior_cingulate,Left,L_caudalanteriorcingulate,1002
Caudal_middle_frontal_gyrus,Left,L_caudalmiddlefrontal,1003
Cuneus,Left,L_cuneus,1005
Entorhinal_gyrus,Left,L_entorhinal,1006
Fusiform_gyrus,Left,L_fusiform,1007
Inferior_parietal_gyrus,Left,L_inferiorparietal,1008
Inferior_temporal_gyrus,Left,L_inferiortemporal,1009
Isthmus_cingulate,Left,L_isthmuscingulate,1010
Lateral_occipital_gyrus,Left,L_lateraloccipital,1011
Lateral_orbitofrontal_gyrus,Left,L_lateralorbitofrontal,1012
Lingual_gyrus,Left,L_lingual,1013
Medial_orbitofrontal_gyrus,Left,L_medialorbitofrontal,1014
Middle_temporal_gyrus,Left,L_middletemporal,1015
Parahippocampal_gyrus,Left,L_parahippocampal,1016
Paracentral_gyrus,Left,L_paracentral,1017
Pars_opercularis,Left,L_parsopercularis,1018
Pars_orbitalis,Left,L_parsorbitalis,1019
Pars_triangularis,Left,L_parstriangularis,1020
Pericalcarine_gyrus,Left,L_pericalcarine,1021
Postcentral_gyrus,Left,L_postcentral,1022
Posterior_cingulate_gyrus,Left,L_posteriorcingulate,1023
Precentral_gyrus,Left,L_precentral,1024
Precuneus,Left,L_precuneus,1025
Rostral_anterior_cingulate,Left,L_rostralanteriorcingulate,1026
Rostral_middle_frontal_gyrus,Left,L_rostralmiddlefrontal,1027
Superior_frontal_gyrus,Left,L_superiorfrontal,1028
Superior_parietal_gyrus,Left,L_superiorparietal,1029
Superior_temporal_gyrus,Left,L_superiortemporal,1030
Supramarginal_gyrus,Left,L_supramarginal,1031
Frontal_pole,Left,L_frontalpole,1032
Temporal_pole,Left,L_temporalpole,1033
Transverse_temporla_gyrus,Left,L_transversetemporal,1034
Insula,Left,L_insula,1035
Banks_of_the_superior_temporal_sulcus,Right,R_bankssts,2001
Caudal_anterior_cingulate,Right,R_caudalanteriorcingulate,2002
Caudal_middle_frontal_gyrus,Right,R_caudalmiddlefrontal,2003
Cuneus,Right,R_cuneus,2005
Entorhinal_gyrus,Right,R_entorhinal,2006
Fusiform_gyrus,Right,R_fusiform,2007
Inferior_parietal_gyrus,Right,R_inferiorparietal,2008
Inferior_temporal_gyrus,Right,R_inferiortemporal,2009
Isthmus_cingulate,Right,R_isthmuscingulate,2010
Lateral_occipital_gyrus,Right,R_lateraloccipital,2011
Lateral_orbitofrontal_gyrus,Right,R_lateralorbitofrontal,2012
Lingual_gyrus,Right,R_lingual,2013
Medial_orbitofrontal_gyrus,Right,R_medialorbitofrontal,2014
Middle_temporal_gyrus,Right,R_middletemporal,2015
Parahippocampal_gyrus,Right,R_parahippocampal,2016
Paracentral_gyrus,Right,R_paracentral,2017
Pars_opercularis,Right,R_parsopercularis,2018
Pars_orbitalis,Right,R_parsorbitalis,2019
Pars_triangularis,Right,R_parstriangularis,2020
Pericalcarine_gyrus,Right,R_pericalcarine,2021
Postcentral_gyrus,Right,R_postcentral,2022
Posterior_cingulate_gyrus,Right,R_posteriorcingulate,2023
Precentral_gyrus,Right,R_precentral,2024
Precuneus,Right,R_precuneus,2025
Rostral_anterior_cingulate,Right,R_rostralanteriorcingulate,2026
Rostral_middle_frontal_gyrus,Right,R_rostralmiddlefrontal,2027
Superior_frontal_gyrus,Right,R_superiorfrontal,2028
Superior_parietal_gyrus,Right,R_superiorparietal,2029
Superior_temporal_gyrus,Right,R_superiortemporal,2030
Supramarginal_gyrus,Right,R_supramarginal,2031
Frontal_pole,Right,R_frontalpole,2032
Temporal_pole,Right,R_temporalpole,2033
Transverse_temporla_gyrus,Right,R_transversetemporal,2034
Insula,Right,R_insula,2035
